example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
1556,"{""choices"": ""[\""four\"", \""six\"", \""five\"", \""three\"", \""zero\"", \""one\"", \""two\""]"", ""correct_choice"": ""G"", ""question"": ""How many girls in nun costumes are there in the video?"", ""video_id"": ""BV15w411s7kE""}",BV15w411s7kE,How many girls in nun costumes are there in the video?,"[""four"", ""six"", ""five"", ""three"", ""zero"", ""one"", ""two""]",Art & Culture / Entity Perception,G,D,D,0.0,0.0,tie,prob_margin,0.15,lt,0.36767342686653137,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,1556,case1_high_confidence,0,7571,0.6242579156,30,12128,2026
4209,"{""choices"": ""[\""event organizer\"", \""manager\"", \""announcer\"", \""producer\"", \""choreographer\"", \""host\"", \""judge\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, there is a girl in a suit standing behind the two dancers on the stage. What is her identity?"", ""video_id"": ""BV1Uz4y1c7aK""}",BV1Uz4y1c7aK,"In the video, there is a girl in a suit standing behind the two dancers on the stage. What is her identity?","[""event organizer"", ""manager"", ""announcer"", ""producer"", ""choreographer"", ""host"", ""judge""]",Music & TV show / Entity Cognition,F,G,G,0.0,0.0,tie,prob_margin,0.15,lt,0.9062295760959387,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,4209,case1_high_confidence,1,7571,0.6242579156,30,12128,2026
6627,"{""choices"": ""[\""350,000 pairs\"", \""200,000 pairs\"", \""100,000 pairs\"", \""150,000 pairs\"", \""250,000 pairs\"", \""300,000 pairs\"", \""275,000 pairs\""]"", ""correct_choice"": ""E"", ""question"": ""In the video, it is mentioned how many pairs of ballet shoes are produced in London every year to supply most of the world's ballet companies and top dancers?"", ""video_id"": ""BV1th411W795""}",BV1th411W795,"In the video, it is mentioned how many pairs of ballet shoes are produced in London every year to supply most of the world's ballet companies and top dancers?","[""350,000 pairs"", ""200,000 pairs"", ""100,000 pairs"", ""150,000 pairs"", ""250,000 pairs"", ""300,000 pairs"", ""275,000 pairs""]",Special Scenes / Entity Perception,E,G,A,0.0,0.0,tie,prob_margin,0.15,lt,0.4014103412628174,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,6627,case1_high_confidence,2,7571,0.6242579156,30,12128,2026
6772,"{""choices"": ""[\""pink\"", \""coral\"", \""rose\"", \""fuchsia\"", \""blush\"", \""salmon\"", \""peach\""]"", ""correct_choice"": ""A"", ""question"": ""What color box is inside the express bag on top of the desk in the video?"", ""video_id"": ""BV1vC411p7qV""}",BV1vC411p7qV,What color box is inside the express bag on top of the desk in the video?,"[""pink"", ""coral"", ""rose"", ""fuchsia"", ""blush"", ""salmon"", ""peach""]",Life Record / Entity Perception,A,A,A,1.0,1.0,tie,prob_margin,0.15,lt,0.9766463642008603,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,6772,case1_high_confidence,3,7571,0.6242579156,30,12128,2026
8568,"{""choices"": ""[\""Beside the dishwasher\"", \""Next to the espresso machine\"", \""Behind the counter\"", \""By the glassware rack\"", \""Next to the sink\"", \""Next to the ice machine\"", \""Next to the refrigerator\""]"", ""correct_choice"": ""G"", ""question"": ""In the video, where is the trash can in the bar?"", ""video_id"": ""OHu4WG1Sstg""}",OHu4WG1Sstg,"In the video, where is the trash can in the bar?","[""Beside the dishwasher"", ""Next to the espresso machine"", ""Behind the counter"", ""By the glassware rack"", ""Next to the sink"", ""Next to the ice machine"", ""Next to the refrigerator""]",Embodied Expert / Entity Cognition,G,E,C,0.0,0.0,tie,prob_margin,0.15,lt,0.3341219946742058,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,8568,case1_high_confidence,4,7571,0.6242579156,30,12128,2026
11287,"{""choices"": ""[\""chopsticks\"", \""teaspoon\"", \""fork\"", \""soup spoon\"", \""knife\"", \""strainer\""]"", ""correct_choice"": ""D"", ""question"": ""In the video, when the mouse in diapers was about to fall into the soup, what did the mouse Jerry use to catch it?"", ""video_id"": ""rLbY-xZQUyw""}",rLbY-xZQUyw,"In the video, when the mouse in diapers was about to fall into the soup, what did the mouse Jerry use to catch it?","[""chopsticks"", ""teaspoon"", ""fork"", ""soup spoon"", ""knife"", ""strainer""]",Music & TV show / Event Perception,D,F,F,0.0,0.0,tie,prob_margin,0.15,lt,0.29168421030044556,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,11287,case1_high_confidence,5,7571,0.6242579156,30,12128,2026
1332,"{""choices"": ""[\""Because the flour landed perfectly into another bowl on the table.\"", \""Because the flour created a funny cloud shape in the air.\"", \""Because the flour formed a pattern on the basin surface.\"", \""Because a bird flew through the flour cloud making a mess.\"", \""Because a sudden gust made Jiang lose his balance.\"", \""Because the wind was so strong, all the flour was blown away.\"", \""Because he accidentally spilled the flour all over himself.\"", \""Because the onions made him cry and laugh at the same time.\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, when Jiang Dunhao, who was wearing a black shirt, was pouring flour into the basin, why did Zhuo Yuan, who was cutting onions behind him, laugh?"", ""video_id"": ""BV1424y1g7Qp""}",BV1424y1g7Qp,"In the video, when Jiang Dunhao, who was wearing a black shirt, was pouring flour into the basin, why did Zhuo Yuan, who was cutting onions behind him, laugh?","[""Because the flour landed perfectly into another bowl on the table."", ""Because the flour created a funny cloud shape in the air."", ""Because the flour formed a pattern on the basin surface."", ""Because a bird flew through the flour cloud making a mess."", ""Because a sudden gust made Jiang lose his balance."", ""Because the wind was so strong, all the flour was blown away."", ""Because he accidentally spilled the flour all over himself."", ""Because the onions made him cry and laugh at the same time.""]",Art & Culture / Event Cognition,F,B,B,0.0,0.0,tie,prob_margin,0.15,lt,0.8057234175503254,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,1332,case1_high_confidence,6,7571,0.6242579156,30,12128,2026
11612,"{""choices"": ""[\""Beige\"", \""Ivory\"", \""Light gray\"", \""White\"", \""Off-white\"", \""Cream\""]"", ""correct_choice"": ""D"", ""question"": ""In the video, when the protagonist is pouring water into the pot, what color is the teapot on the right side of the pot?"", ""video_id"": ""w8j9zNp8hNI""}",w8j9zNp8hNI,"In the video, when the protagonist is pouring water into the pot, what color is the teapot on the right side of the pot?","[""Beige"", ""Ivory"", ""Light gray"", ""White"", ""Off-white"", ""Cream""]",Embodied Expert / Entity Perception,D,D,D,1.0,1.0,tie,prob_margin,0.15,lt,0.7557941526174545,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,11612,case1_high_confidence,7,7571,0.6242579156,30,12128,2026
2923,"{""choices"": ""[\""vigorous\"", \""forceful\"", \""powerful\"", \""strong\"", \""resilient\"", \""mighty\"", \""intense\"", \""robust\""]"", ""correct_choice"": ""C"", ""question"": ""What was written on the backpack that the protagonist was carrying when he was standing in the wheat field in the video?"", ""video_id"": ""BV1JE41167tQ""}",BV1JE41167tQ,What was written on the backpack that the protagonist was carrying when he was standing in the wheat field in the video?,"[""vigorous"", ""forceful"", ""powerful"", ""strong"", ""resilient"", ""mighty"", ""intense"", ""robust""]",Music & TV show / Text Perception,C,A,A,0.0,0.0,tie,prob_margin,0.15,lt,0.16174030303955078,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,2923,case1_high_confidence,8,7571,0.6242579156,30,12128,2026
11748,"{""choices"": ""[\""Mid-air\"", \""In a corner\"", \""Against the net\"", \""On the sidelines\"", \""On the ground\"", \""On the court\"", \""In a player's hands\""]"", ""correct_choice"": ""A"", ""question"": ""In the video, where is the volleyball when the \""Yep\"" subtitle first appears?"", ""video_id"": ""wrF01Ltvsks""}",wrF01Ltvsks,"In the video, where is the volleyball when the ""Yep"" subtitle first appears?","[""Mid-air"", ""In a corner"", ""Against the net"", ""On the sidelines"", ""On the ground"", ""On the court"", ""In a player's hands""]",Embodied Expert / Entity Cognition,A,A,A,1.0,1.0,tie,prob_margin,0.15,lt,0.6841564178466797,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,11748,case1_high_confidence,9,7571,0.6242579156,30,12128,2026
