example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed,sample_uid,fs224_mean_ms,fs224_median_ms,fs224_p90_ms,fs224_std_ms,fs224_repeats_ms,fs224_error,fs224_cache_build_ms_for_video,fs112_mean_ms,fs112_median_ms,fs112_p90_ms,fs112_std_ms,fs112_repeats_ms,fs112_error,fs112_cache_build_ms_for_video,verifier_mean_ms,verifier_median_ms,verifier_p90_ms,verifier_std_ms,verifier_repeats_ms,verifier_error
106,"{""choices"": ""[\""Right side of stage\"", \""Second floor on the left\"", \""On the left side of the stage\"", \""Second floor on the right\""]"", ""correct_choice"": ""D"", ""question"": ""Where is the harp player, respective to the people on the stage?"", ""video_id"": ""8QdE--Y-x7U""}",8QdE--Y-x7U,"Where is the harp player, respective to the people on the stage?","[""Right side of stage"", ""Second floor on the left"", ""On the left side of the stage"", ""Second floor on the right""]",entity recognition,D,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.4615698605775833,False,True,0.4615698605775833,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,106,case1_high_confidence,0,404,0.5466847091,30,739,2026,case1_high_confidence_0,306.59207933334187,368.5657409999976,368.5657409999976,88.110487530122,"[181.98561400001267, 369.2248830000153, 368.5657409999976]",,87393.98087399999,,,,,,,,,,,,,
278,"{""choices"": ""[\""Green\"", \""Red\"", \""Gray\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the inner layer of clothing worn by the second speaker in the video?"", ""video_id"": ""QB7FoIpx8os""}",QB7FoIpx8os,What color is the inner layer of clothing worn by the second speaker in the video?,"[""Green"", ""Red"", ""Gray"", ""Black""]",entity recognition,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6391774564981461,False,True,0.6391774564981461,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,278,case1_high_confidence,1,404,0.5466847091,30,739,2026,case1_high_confidence_1,294.4109806666688,352.30638100000533,352.30638100000533,92.4641852915465,"[163.92249900002298, 367.00406199997815, 352.30638100000533]",,80244.869989,,,,,,,,,,,,,
428,"{""choices"": ""[\""The protagonist flees the fight\"", \""The protagonist injures all the Samurais\"", \""The protagonist spares the last remaining Samurai\"", \""The protagonist kills all the Samurais\""]"", ""correct_choice"": ""A"", ""question"": ""Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?"", ""video_id"": ""Za2Z_JRxCuk""}",Za2Z_JRxCuk,Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?,"[""The protagonist flees the fight"", ""The protagonist injures all the Samurais"", ""The protagonist spares the last remaining Samurai"", ""The protagonist kills all the Samurais""]",event understanding,A,C,C,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.46017037332057953,False,True,0.46017037332057953,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,428,case1_high_confidence,2,404,0.5466847091,30,739,2026,case1_high_confidence_2,182.69038666664983,168.98724499998252,168.98724499998252,23.38126870567591,"[168.98724499998252, 215.60329899995168, 163.4806160000153]",,29244.766339000023,,,,,,,,,,,,,
441,"{""choices"": ""[\""Mikhail\"", \""Staffan\"", \""Eric\"", \""Nathan\""]"", ""correct_choice"": ""A"", ""question"": ""What is the name of the elder who joins the vlogger on their travel?"", ""video_id"": ""_T2Avd3tFHc""}",_T2Avd3tFHc,What is the name of the elder who joins the vlogger on their travel?,"[""Mikhail"", ""Staffan"", ""Eric"", ""Nathan""]","entity recognition, key information retrieval",A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6784603595733643,False,True,0.6784603595733643,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,441,case1_high_confidence,3,404,0.5466847091,30,739,2026,case1_high_confidence_3,301.05437199999113,368.99941199999375,368.99941199999375,98.75911403571014,"[161.4047609999716, 372.758943000008, 368.99941199999375]",,27005.349770999997,,,,,,,,,,,,,
581,"{""choices"": ""[\""She dances with people\"", \""She throws her shoe away\"", \""She walks barefoot\"", \""She fights with a police\""]"", ""correct_choice"": ""A"", ""question"": ""What does the woman do before throwing the Coca-Cola can into the air?"", ""video_id"": ""q01CUy_gwdU""}",q01CUy_gwdU,What does the woman do before throwing the Coca-Cola can into the air?,"[""She dances with people"", ""She throws her shoe away"", ""She walks barefoot"", ""She fights with a police""]","entity recognition, key information retrieval",A,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.9297898057848215,False,True,0.9297898057848215,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,581,case1_high_confidence,4,404,0.5466847091,30,739,2026,case1_high_confidence_4,163.227223666676,161.03666099996872,161.03666099996872,3.849951837418397,"[168.6392480000336, 160.0057620000257, 161.03666099996872]",,45998.61754100004,,,,,,,,,,,,,
94,"{""choices"": ""[\""Friedrich Engels\"", \""Karl Heinrich Marx\"", \""Alfred Bernhard Nobel\"", \""Michelangelo Buonarroti\""]"", ""correct_choice"": ""C"", ""question"": ""Who is the green sculpture directly behind the stage?"", ""video_id"": ""8NHmfpkxTSw""}",8NHmfpkxTSw,Who is the green sculpture directly behind the stage?,"[""Friedrich Engels"", ""Karl Heinrich Marx"", ""Alfred Bernhard Nobel"", ""Michelangelo Buonarroti""]",entity recognition,C,C,C,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.9928496009670198,False,True,0.9928496009670198,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,94,case1_high_confidence,5,404,0.5466847091,30,739,2026,case1_high_confidence_5,371.97160600002616,369.0543500000558,369.0543500000558,4.335021274469092,"[369.0543500000558, 368.76056300002347, 378.0999049999991]",,70011.47904300001,,,,,,,,,,,,,
206,"{""choices"": ""[\""SATA\"", \""Honeywell\"", \""Uvex\"", \""Smith\""]"", ""correct_choice"": ""D"", ""question"": ""What brand of goggles does the vlogger family have?"", ""video_id"": ""KbahC-QCKU8""}",KbahC-QCKU8,What brand of goggles does the vlogger family have?,"[""SATA"", ""Honeywell"", ""Uvex"", ""Smith""]","key information retrieval, entity recognition",D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.9493028502911329,False,True,0.9493028502911329,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,206,case1_high_confidence,6,404,0.5466847091,30,739,2026,case1_high_confidence_6,382.5010879999506,375.44433599998683,375.44433599998683,29.744030968925124,"[421.94203499991545, 375.44433599998683, 350.1168929999494]",,34723.53885899997,,,,,,,,,,,,,
535,"{""choices"": ""[\""Black\"", \""Yellow\"", \""Green\"", \""Red\""]"", ""correct_choice"": ""D"", ""question"": ""The stool on which the winner sits is ___."", ""video_id"": ""lDlA7cfNk8A""}",lDlA7cfNk8A,The stool on which the winner sits is ___.,"[""Black"", ""Yellow"", ""Green"", ""Red""]",entity recognition,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.9595259167253971,False,True,0.9595259167253971,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,535,case1_high_confidence,7,404,0.5466847091,30,739,2026,case1_high_confidence_7,327.4519310000035,339.08987699999216,339.08987699999216,50.6640452002867,"[339.08987699999216, 260.40643700002875, 382.85947899998973]",,64140.40919199999,,,,,,,,,,,,,
552,"{""choices"": ""[\""U.S. ADDS 303.000 JOBS IN MARCH, INSTRONGER-THAN-EXPECTED REPORT\"", \""Magntude earthouake rumles parts of the northeast, prompting concerns of building safety\"", \""JUST IN: BODY FOUND AT THE SITEOF BALTIMORE BRIDGE COLLAPSE\"", \""TOURISTS FLOCK TO LOCATIONS ALONGTHE SOLAR ECLIPSE PATH OF TOTALITY\""]"", ""correct_choice"": ""D"", ""question"": ""What events did the host report on after the report with the keyword of MARKET?"", ""video_id"": ""moALQl818ZY""}",moALQl818ZY,What events did the host report on after the report with the keyword of MARKET?,"[""U.S. ADDS 303.000 JOBS IN MARCH, INSTRONGER-THAN-EXPECTED REPORT"", ""Magntude earthouake rumles parts of the northeast, prompting concerns of building safety"", ""JUST IN: BODY FOUND AT THE SITEOF BALTIMORE BRIDGE COLLAPSE"", ""TOURISTS FLOCK TO LOCATIONS ALONGTHE SOLAR ECLIPSE PATH OF TOTALITY""]",event understanding,D,D,A,1.0,0.0,route_112,prob_margin,0.3,lt,224,112,0.41809292137622833,False,False,0.41809292137622833,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,552,case1_high_confidence,8,404,0.5466847091,30,739,2026,case1_high_confidence_8,429.87184833327774,441.28074899992953,441.28074899992953,55.82942736800562,"[356.5082139999731, 491.82658199993057, 441.28074899992953]",,78717.41350000002,,,,,,,,,,,,,
493,"{""choices"": ""[\""Speech video\"", \""Documentary\"", \""Concert\"", \""News report\""]"", ""correct_choice"": ""A"", ""question"": ""What type of video is this"", ""video_id"": ""f8DKD78BrQA""}",f8DKD78BrQA,What type of video is this,"[""Speech video"", ""Documentary"", ""Concert"", ""News report""]",event understanding,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.9546267855912447,False,True,0.9546267855912447,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,493,case1_high_confidence,9,404,0.5466847091,30,739,2026,case1_high_confidence_9,406.31345999994056,415.53334600007474,415.53334600007474,18.841156399668325,"[380.0533659998564, 415.53334600007474, 423.3536679998906]",,111188.58104900004,,,,,,,,,,,,,
