fold,input_mode,video_id,question,choices,task,gold_label,pred_label,pred_confidence,acc112,acc224,routed_acc
1,question_choices,1_plotQA/en_tv_13,What does the man in the checkered shirt get up to bring when people are eating?,"[""Bowl"", ""Cup"", ""Plate"", ""Spoon""]",plotQA,tie,tie,0.5113152756758808,0.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_13,Where does the family of three finally stop after speeding on the road in their car?,"[""Park"", ""Parking lot"", ""Courtyard"", ""Square""]",plotQA,tie,route_224,0.5542996634030363,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_15,What color is the chair the man sits on in the scene where two men are chatting in the office?,"[""White"", ""Green"", ""Purple"", ""Black""]",plotQA,tie,route_224,0.5640345616909451,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_15,What color is the train that passes through the city?,"[""Blue"", ""Silver"", ""Green"", ""Red""]",plotQA,tie,route_224,0.5750187543089358,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_15,What color is the woman's clothes in the chat at the beginning of the video?,"[""Black"", ""Red"", ""Green"", ""White""]",plotQA,tie,tie,0.525587569099178,0.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_15,What is the weather during the scene where two people are chatting at the beginning of the video?,"[""Sunny"", ""Snowy"", ""Stormy"", ""Rainy""]",plotQA,tie,tie,0.5135473078206806,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_21,"In the scene where two people are chatting on the street, what color are the numbers on the wall?","[""Green"", ""White"", ""Orange"", ""Blue""]",plotQA,route_112,route_224,0.6507953077091552,1.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_21,"In the scene where two people are conversing, what color is the dress of the woman wearing the necklace?","[""Green"", ""Orange"", ""Rose Red"", ""Blue""]",plotQA,route_112,route_224,0.6864194419775821,1.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_21,What color is the bag that the man is carrying in the rooftop conversation scene?,"[""Blue"", ""Orange"", ""Black"", ""Green""]",plotQA,tie,tie,0.5197400464140048,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_21,What color is the fence on the road in the movie?,"[""Blue"", ""Orange"", ""Yellow"", ""Green""]",plotQA,route_224,tie,0.5353232467537842,0.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_24,What color is the lamp next to the two people chatting in the clip?,"[""Red"", ""Blue"", ""Black"", ""Green""]",plotQA,tie,route_224,0.573953370238754,0.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_24,What color is the police car in the video?,"[""White"", ""Blue"", ""Red"", ""Black""]",plotQA,route_224,route_224,0.6078978394637757,0.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_24,What color is the taxi at the beginning of the clip?,"[""Yellow"", ""Blue"", ""Black"", ""Red""]",plotQA,tie,route_224,0.5646066541838638,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_24,What color is the top worn by the woman among the three people chatting at the end of the clip?,"[""Green"", ""Red"", ""Blue"", ""Black""]",plotQA,route_112,route_224,0.6820504138478753,1.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_29,What animal appears in the video?,"[""Dog"", ""Snake"", ""Dinosaur"", ""Cat""]",plotQA,route_224,tie,0.5325864629814303,0.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_29,What color is the sweater of the old man talking to the woman at the beginning of the video?,"[""Black"", ""Purple"", ""Green"", ""White""]",plotQA,tie,tie,0.5056874753112706,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_29,What piece of clothing appears for the old man after the scan?,"[""Sweater"", ""Skirt"", ""Pants"", ""T-shirt""]",plotQA,tie,route_224,0.5687310778166488,0.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_35,What color is the man's hair at the beginning of the video?,"[""Red"", ""Blonde"", ""White"", ""Black""]",plotQA,tie,tie,0.5476376912916368,0.0,0.0,0.0
1,question_choices,1_plotQA/en_tv_35,What color is the woman's clothing at the beginning of the video?,"[""Green"", ""Black"", ""White"", ""Red""]",plotQA,route_224,route_224,0.5806156281195447,0.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_35,What does the woman bring to knock on the door in the video?,"[""Food"", ""Coffee"", ""Wine"", ""Fruit""]",plotQA,tie,tie,0.5244796256574157,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_8,What does the man with a scar on his face do after drawing blood?,"[""Talks with someone"", ""Eats bread"", ""Takes a pill from a yellow bottle"", ""Drinks milk""]",plotQA,tie,route_112,0.5679971808322726,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_8,Where does the woman in black leather jacket go after talking alone with the man with a scar on his face?,"[""Office"", ""Football field"", ""Swimming pool"", ""Gymnasium""]",plotQA,tie,tie,0.5258485809503903,1.0,1.0,1.0
1,question_choices,1_plotQA/en_tv_8,Why did the man and woman stop kissing in the pool?,"[""Shot by a gun"", ""Bitten by a dog"", ""Warned"", ""Interrupted by a man in a black T-shirt""]",plotQA,tie,route_224,0.6367821003308614,0.0,0.0,0.0
1,question_choices,1_plotQA/haimian_1,What did the cartoon squirrel do after leaving the house?,"[""Writing a letter"", ""Driving"", ""Leaving"", ""Sleeping""]",plotQA,tie,route_224,0.5851045799446022,0.0,0.0,0.0
1,question_choices,1_plotQA/haimian_1,What did the sea animals see that shocked them?,"[""A fight scene"", ""Delicious food"", ""A crowded crowd"", ""Cartoon Sponge's muscular arms""]",plotQA,tie,route_224,0.6087500681375038,1.0,1.0,1.0
1,question_choices,1_plotQA/haimian_1,What is the cartoon octopus doing?,"[""Playing games"", ""Eating a popsicle in a chair"", ""Sleeping"", ""Cooking""]",plotQA,tie,route_224,0.5899276353223187,1.0,1.0,1.0
1,question_choices,1_plotQA/haimian_1,What is the cartoon sponge doing lying in bed?,"[""Watching TV"", ""Chatting"", ""Playing games"", ""Sleeping""]",plotQA,tie,route_224,0.6225364613192766,0.0,0.0,0.0
1,question_choices,1_plotQA/haimian_5,What are the cartoon starfish and cartoon sponge doing while they are talking?,"[""Playing with toys"", ""Drinking water"", ""Eating snacks"", ""Riding a cartoon seahorse seat""]",plotQA,tie,route_224,0.7020081582835411,1.0,1.0,1.0
1,question_choices,1_plotQA/haimian_5,What does the cartoon lobster lift from the sea?,"[""Paper money"", ""Carp"", ""Black fish"", ""Octopus""]",plotQA,tie,route_224,0.5832978661417246,1.0,1.0,1.0
1,question_choices,1_plotQA/haimian_5,What does the cartoon starfish do before sitting on the cartoon rocking chair?,"[""Playing with toys"", ""Eating snacks"", ""Drinking water"", ""Inserting a coin""]",plotQA,tie,route_224,0.6136320584583872,1.0,1.0,1.0
1,question_choices,1_plotQA/haimian_5,What is the cartoon sponge preparing to do when it sees the cartoon shark?,"[""Drinking milk"", ""Drinking water"", ""Drinking coffee"", ""Drinking juice""]",plotQA,tie,route_224,0.5858582807039283,0.0,0.0,0.0
1,question_choices,1_plotQA/movie101_1,"At the beginning of the video, what behavior of the person in the black shirt is the person in the blue pants trying to prevent?","[""Lighting a cigarette"", ""Bowing down"", ""Raising hand"", ""Squatting down""]",plotQA,route_112,route_224,0.6398136439702454,1.0,0.0,0.0
1,question_choices,1_plotQA/movie101_1,What is the mood of the person in the blue pants after kicking the water?,"[""Resentful"", ""Surprised"", ""Happy"", ""Depressed""]",plotQA,tie,route_224,0.5847014991027379,0.0,0.0,0.0
1,question_choices,1_plotQA/movie101_1,Why did the children run out of the classroom?,"[""To play games"", ""Class is over"", ""To watch two other children fight"", ""To eat""]",plotQA,tie,route_224,0.6099470064211473,1.0,1.0,1.0
1,question_choices,1_plotQA/movie101_105,What happened after the two children got off the car at the beginning of the video?,"[""Reading"", ""Their purchases were stolen"", ""Eating snacks"", ""Drinking water""]",plotQA,tie,tie,0.5420925899144147,1.0,1.0,1.0
1,question_choices,1_plotQA/movie101_105,Why did the man at the beginning of the video rush into the house at the end?,"[""Because he wanted to turn off the TV"", ""Because he wanted to save his child"", ""Because he wanted to get his phone"", ""Because he wanted to take an umbrella""]",plotQA,tie,tie,0.5167071739734096,1.0,1.0,1.0
1,question_choices,1_plotQA/movie101_105,Why did the person hiding in the truck run in a hurry?,"[""Because there was an earthquake"", ""Because there was a flood"", ""Because there was a tsunami"", ""Because there was a sandstorm""]",plotQA,tie,route_224,0.6826044027189317,0.0,0.0,0.0
